:START_ID(Edition),:END_ID(ConferenceWorkshop)
arXiv.org_2023,arXiv.org
Applied_Sciences_2023,Applied Sciences
SIGMOD_record_2022,SIGMOD record
GRADES-NDA@SIGMOD_2022,GRADES-NDA@SIGMOD
International_Conference_on_Database_Theory_2022,International Conference on Database Theory
LOG_IN_2022,LOG IN
The_VLDB_journal_2021,The VLDB journal
Database_J._Biol._Databases_Curation_2021,Database J. Biol. Databases Curation
Undergraduate_Topics_in_Computer_Science_2019,Undergraduate Topics in Computer Science
Journal_on_Data_Semantics_2020,Journal on Data Semantics
IEEE_Access_2020,IEEE Access
SIGMOD_Conference_2021,SIGMOD Conference
International_Conference_on_Advances_in_Social_Networks_Analysis_and_Mining_2021,International Conference on Advances in Social Networks Analysis and Mining
International_Conference_on_Data_Technologies_and_Applications_2018,International Conference on Data Technologies and Applications
Knowledge_Discovery_and_Data_Mining_2020,Knowledge Discovery and Data Mining
Advances_in_Computer_and_Electrical_Engineering_2019,Advances in Computer and Electrical Engineering
"International_Conference_on_Internet_of_Things,_Big_Data_and_Security_2020","International Conference on Internet of Things, Big Data and Security"
ACM_Computing_Surveys_2019,ACM Computing Surveys
International_Conference_on_Conceptual_Modeling_2019,International Conference on Conceptual Modeling
EPJ_Web_of_Conferences_2020,EPJ Web of Conferences
Theory_of_Computing_Systems_2017,Theory of Computing Systems
ACM_Computing_Surveys_2016,ACM Computing Surveys
IEEE_International_Conference_on_Data_Engineering_2017,IEEE International Conference on Data Engineering
International_Conference_on_Statistical_and_Scientific_Database_Management_2019,International Conference on Statistical and Scientific Database Management
BDCAT_2019,BDCAT
Proceedings_of_the_VLDB_Endowment_2019,Proceedings of the VLDB Endowment
International_Conference_on_Enterprise_Information_Systems_2017,International Conference on Enterprise Information Systems
GRADES/NDA@SIGMOD/PODS_2018,GRADES/NDA@SIGMOD/PODS
IEEE_Transactions_on_Knowledge_and_Data_Engineering_2018,IEEE Transactions on Knowledge and Data Engineering
Applied_Sciences_2022,Applied Sciences
BlockSW/CKG@ISWC_2019,BlockSW/CKG@ISWC
Trans._GIS_2019,Trans. GIS
Journal_of_Database_Management_2019,Journal of Database Management
BioData_Mining_2016,BioData Mining
2019_IEEE_15th_International_Scientific_Conference_on_Informatics_2019,2019 IEEE 15th International Scientific Conference on Informatics
International_Conferences_on_Graph_Computing_2019,International Conferences on Graph Computing
Symposium_on_Advances_in_Databases_and_Information_Systems_2019,Symposium on Advances in Databases and Information Systems
Journal_of_Artificial_Intelligence_Research_2018,Journal of Artificial Intelligence Research
Workshop_on_the_Theory_and_Practice_of_Provenance_2018,Workshop on the Theory and Practice of Provenance
"International_Conference_on_Control,_Automation_and_Information_Sciences_2018","International Conference on Control, Automation and Information Sciences"
International_Conference_on_Web_Engineering_2018,International Conference on Web Engineering
International_Conference_on_Conceptual_Modeling_2016,International Conference on Conceptual Modeling
International_Conference_on_Information_Technology_&_Systems_2018,International Conference on Information Technology & Systems
Brazilian_Symposium_on_Bioinformatics_2018,Brazilian Symposium on Bioinformatics
International_Conference_on_Database_and_Expert_Systems_Applications_2018,International Conference on Database and Expert Systems Applications
International_Conference_on_Information_Networking_2018,International Conference on Information Networking
International_Conference_on_Information_Systems_Security_and_Privacy_2018,International Conference on Information Systems Security and Privacy
PLoS_ONE_2017,PLoS ONE
WorldCIST_2018,WorldCIST
International_Conference_on_Artificial_Intelligence_and_Soft_Computing_2018,International Conference on Artificial Intelligence and Soft Computing
2017_IEEE_International_Conference_on_Big_Data_(Big_Data)_2017,2017 IEEE International Conference on Big Data (Big Data)
GRADES@SIGMOD/PODS_2017,GRADES@SIGMOD/PODS
IEEE_International_Symposium_on_High-Performance_Parallel_Distributed_Computing_2017,IEEE International Symposium on High-Performance Parallel Distributed Computing
International_Database_Engineering_and_Applications_Symposium_2016,International Database Engineering and Applications Symposium
International_Workshop_on_the_Semantic_Web_2016,International Workshop on the Semantic Web
SDM_2016,SDM
BMC_Bioinformatics_2016,BMC Bioinformatics
WorldCIST_2017,WorldCIST
Vietnam_Journal_of_Computer_Science_2017,Vietnam Journal of Computer Science
EDBT/ICDT_Workshops_2017,EDBT/ICDT Workshops
IT_Professional_2017,IT Professional
IEEE_International_Conference_on_Data_Engineering_2016,IEEE International Conference on Data Engineering
International_Conference_on_Automated_Planning_and_Scheduling_2017,International Conference on Automated Planning and Scheduling
IEEE_International_Conference_on_Fuzzy_Systems_2017,IEEE International Conference on Fuzzy Systems
International_Conference_on_Information_and_Knowledge_Management_2017,International Conference on Information and Knowledge Management
The_VLDB_journal_2016,The VLDB journal
arXiv.org_2016,arXiv.org
International_Conference_on_Data_Warehousing_and_Knowledge_Discovery_2016,International Conference on Data Warehousing and Knowledge Discovery
Alberto_Mendelzon_Workshop_on_Foundations_of_Data_Management_2016,Alberto Mendelzon Workshop on Foundations of Data Management
ANT/SEIT_2017,ANT/SEIT
"IEEE/ACM_International_Symposium_on_Cluster,_Cloud_and_Internet_Computing_2017","IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing"
Proceedings_of_the_VLDB_Endowment_2016,Proceedings of the VLDB Endowment
International_Conference_on_Computer_Information_Systems_and_Industrial_Management_Applications_2015,International Conference on Computer Information Systems and Industrial Management Applications
"International_Conference_on_Computing,_Communication_and_Automation_2015","International Conference on Computing, Communication and Automation"
arXiv.org_2020,arXiv.org
IEEE_Transactions_on_Knowledge_and_Data_Engineering_2015,IEEE Transactions on Knowledge and Data Engineering
The_VLDB_journal_2015,The VLDB journal
IEEE_International_Conference_on_Data_Engineering_2015,IEEE International Conference on Data Engineering
IEEE_International_Advance_Computing_Conference_2015,IEEE International Advance Computing Conference
Artificial_Intelligence_Applications_and_Innovations_2015,Artificial Intelligence Applications and Innovations
International_Conference_on_Extending_Database_Technology_2015,International Conference on Extending Database Technology
International_Conference_on_Flexible_Query_Answering_Systems_2015,International Conference on Flexible Query Answering Systems
"International_Joint_Conference_on_Knowledge_Discovery,_Knowledge_Engineering_and_Knowledge_Management_2015","International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management"
GRADES@SIGMOD/PODS_2015,GRADES@SIGMOD/PODS
Very_Large_Data_Bases_Conference_2015,Very Large Data Bases Conference
International_Symposium_Graph_Drawing_and_Network_Visualization_2015,International Symposium Graph Drawing and Network Visualization
Computer_2015,Computer
PPAA_'14_2014,PPAA '14
International_Conference_on_Conceptual_Modeling_2014,International Conference on Conceptual Modeling
International_Conference_on_Information_Processing_and_Management_of_Uncertainty_2014,International Conference on Information Processing and Management of Uncertainty
