journal_id:ID(Journal),organization
arXiv.org,ACM Press
Applied Sciences,Elsevier
SIGMOD record,Oxford Press
GRADES-NDA@SIGMOD,Springer
LOG IN,IEEE Publishing
The VLDB journal,IEEE Publishing
Database J. Biol. Databases Curation,IEEE Publishing
Undergraduate Topics in Computer Science,Elsevier
Journal on Data Semantics,IEEE Publishing
IEEE Access,Springer
Knowledge Discovery and Data Mining,IEEE Publishing
Advances in Computer and Electrical Engineering,IEEE Publishing
ACM Computing Surveys,Springer
Theory of Computing Systems,Oxford Press
BDCAT,ACM Press
GRADES/NDA@SIGMOD/PODS,Elsevier
IEEE Transactions on Knowledge and Data Engineering,Elsevier
BlockSW/CKG@ISWC,ACM Press
Trans. GIS,IEEE Publishing
Journal of Database Management,Elsevier
BioData Mining,Springer
Journal of Artificial Intelligence Research,Oxford Press
PLoS ONE,Oxford Press
WorldCIST,IEEE Publishing
GRADES@SIGMOD/PODS,ACM Press
SDM,Elsevier
BMC Bioinformatics,ACM Press
Vietnam Journal of Computer Science,Oxford Press
IT Professional,Springer
ANT/SEIT,ACM Press
Artificial Intelligence Applications and Innovations,Springer
Computer,ACM Press
PPAA '14,ACM Press
