:START_ID(Volume),:END_ID(Journal)
arXiv.org_Vol2023,arXiv.org
Applied Sciences_Vol2023,Applied Sciences
SIGMOD record_Vol2022,SIGMOD record
GRADES-NDA@SIGMOD_Vol2022,GRADES-NDA@SIGMOD
LOG IN_Vol2022,LOG IN
The VLDB journal_Vol2021,The VLDB journal
Database J. Biol. Databases Curation_Vol2021,Database J. Biol. Databases Curation
Undergraduate Topics in Computer Science_Vol2019,Undergraduate Topics in Computer Science
Journal on Data Semantics_Vol2020,Journal on Data Semantics
IEEE Access_Vol2020,IEEE Access
Knowledge Discovery and Data Mining_Vol2020,Knowledge Discovery and Data Mining
Advances in Computer and Electrical Engineering_Vol2019,Advances in Computer and Electrical Engineering
ACM Computing Surveys_Vol2019,ACM Computing Surveys
Theory of Computing Systems_Vol2017,Theory of Computing Systems
ACM Computing Surveys_Vol2016,ACM Computing Surveys
BDCAT_Vol2019,BDCAT
GRADES/NDA@SIGMOD/PODS_Vol2018,GRADES/NDA@SIGMOD/PODS
IEEE Transactions on Knowledge and Data Engineering_Vol2018,IEEE Transactions on Knowledge and Data Engineering
Applied Sciences_Vol2022,Applied Sciences
BlockSW/CKG@ISWC_Vol2019,BlockSW/CKG@ISWC
Trans. GIS_Vol2019,Trans. GIS
Journal of Database Management_Vol2019,Journal of Database Management
BioData Mining_Vol2016,BioData Mining
Journal of Artificial Intelligence Research_Vol2018,Journal of Artificial Intelligence Research
PLoS ONE_Vol2017,PLoS ONE
WorldCIST_Vol2018,WorldCIST
GRADES@SIGMOD/PODS_Vol2017,GRADES@SIGMOD/PODS
SDM_Vol2016,SDM
BMC Bioinformatics_Vol2016,BMC Bioinformatics
WorldCIST_Vol2017,WorldCIST
Vietnam Journal of Computer Science_Vol2017,Vietnam Journal of Computer Science
IT Professional_Vol2017,IT Professional
The VLDB journal_Vol2016,The VLDB journal
arXiv.org_Vol2016,arXiv.org
ANT/SEIT_Vol2017,ANT/SEIT
arXiv.org_Vol2020,arXiv.org
IEEE Transactions on Knowledge and Data Engineering_Vol2015,IEEE Transactions on Knowledge and Data Engineering
The VLDB journal_Vol2015,The VLDB journal
Artificial Intelligence Applications and Innovations_Vol2015,Artificial Intelligence Applications and Innovations
GRADES@SIGMOD/PODS_Vol2015,GRADES@SIGMOD/PODS
Computer_Vol2015,Computer
PPAA '14_Vol2014,PPAA '14
